lm_id,campid,leadsource,sdate,lc_status,national_id_flag,lm_prd_code,app_id,disbursaldate,loan_amt,rundate,run_month,crmid,lc_id,lead_id,bound_code,qualified,reason,lead_channel,batch_month,disbursed_month
47591178,344,AVAY-NonLG,2023-05-19,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1012823694,53f04773-82b1-4cb4-866a-500207df9840,14088283,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47427351,344,AVAY-NonLG,2023-05-14,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1004622253,53f4f80a-2c6f-4575-bfee-21fbce31a961,14067537,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47445138,344,AVAY-NonLG,2023-05-15,PASSED_NTB,N,NULL,89960897,,,2023-06-05,2023-06,68x1005625813,53f67ad0-5deb-48ee-a879-09533ef780e2,14073190,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47746018,344,AVAY-NonLG,2023-05-30,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1021167939,540484cd-1407-4c49-a3f0-f18e9bb31462,14119295,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47604205,344,AVAY-NonLG,2023-05-20,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1013666943,5404c31d-40aa-4a01-bbb4-156ab0d6f57a,14091436,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47136732,344,AVAY-NonLG,2023-05-08,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x999617752,606ff440-5837-44ea-a11c-a6b14b0204d0,14044284,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47575040,344,AVAY-NonLG,2023-05-18,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1008353717,607b2e0b-37f6-487b-86db-96cca80a7e4b,14084510,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47607134,344,AVAY-NonLG,2023-05-20,PASSED_NTB,N,NULL,89966302,,,2023-06-05,2023-06,68x1013871187,6089ea31-f5e2-429e-82f8-3f6e8735d0bc,14092199,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47627509,344,AVAY-NonLG,2023-05-22,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1014952473,60928bed-31db-4719-b406-33683c5c656c,14098115,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47412863,344,AVAY-NonLG,2023-05-13,PASSED_NTB,N,NULL,89811110,,,2023-06-05,2023-06,68x1003906578,60a8a6c7-7c4f-4a70-9a41-bbe78df6e2d2,14063712,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46762354,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,89162897,,,2023-06-05,2023-06,68x996404424,60a932db-56a4-46ae-85d1-f6891a087709,14022490,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46977965,344,AVAY-NonLG,2023-05-05,PASSED_NTB,N,NULL,89263479,,,2023-06-05,2023-06,68x998343304,60ab6059-fe67-4432-8b78-a005c9f65234,14035922,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47618187,344,AVAY-NonLG,2023-05-22,PASSED_NTB,N,NULL,90153925,2023-05-24,"12,830,000",2023-06-05,2023-06,68x1014447310,60b21d98-b1ed-422a-9d84-ad29804dfc02,14095828,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,1
46762242,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996402222,60b26f76-81a5-41f2-b51d-7ec3d14c975f,14022046,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47432529,344,AVAY-NonLG,2023-05-14,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1004933196,60b53fd3-5124-47c2-927e-6438456000d5,14069526,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
46772145,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,89209859,,,2023-06-05,2023-06,68x996774021,60bfc4ea-18c2-4139-b1c0-380242806f1b,14026749,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47383579,344,AVAY-NonLG,2023-05-11,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1002340277,60bff163-3ea7-4583-831c-a8ae2f11d787,14057131,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47407737,344,AVAY-NonLG,2023-05-12,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1003653502,60c23427-beff-4956-8303-e11b6a440599,14062758,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46803885,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x997426709,60c568d2-3373-4800-b445-ad8f49ebc06e,14031903,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47389193,344,AVAY-NonLG,2023-05-11,PASSED_NTB,N,NULL,89557538,,,2023-06-05,2023-06,68x1002611200,60c9af59-11dd-4532-a123-9bb7da5b1f45,14058959,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47586378,344,AVAY-NonLG,2023-05-19,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1012471702,60cb369e-825c-48b7-966e-e3e8276494b6,14086945,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46761893,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996396476,60d0e13e-2364-47db-b591-b2bdd06ae53e,14021071,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47618179,344,AVAY-NonLG,2023-05-22,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1014447302,60d2b93b-5ced-404e-a660-5a22d9bd4259,14095780,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47584170,344,AVAY-NonLG,2023-05-18,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1008870923,60d4b7f7-de7c-4f73-82a6-c7e8d22d814f,14086215,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46762178,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996401079,60d52d5e-5262-4523-a7eb-d987d4de2ac1,14021887,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46760101,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996366127,60e68a2e-90a2-4404-87c2-21e6fa728a79,14014846,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47477313,344,AVAY-NonLG,2023-05-17,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1007347845,60fe08af-8547-47dc-a1a6-cd93e7188116,14082280,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47424058,344,AVAY-NonLG,2023-05-13,PASSED_NTB,N,NULL,89675012,,,2023-06-05,2023-06,68x1004525355,610318cd-cb69-46a1-bc3b-d0f151cf9506,14066502,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47625847,344,AVAY-NonLG,2023-05-22,PASSED_NTB,N,NULL,90132388,,,2023-06-05,2023-06,68x1014828156,6119e769-bc9c-4b4c-9971-4cc29d010839,14097729,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47439878,344,AVAY-NonLG,2023-05-15,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1005291292,611f06db-dc07-43f7-be3c-57308960facb,14072240,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47455834,344,AVAY-NonLG,2023-05-16,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1006138541,6120d4a8-8028-473f-8bf1-38002ebd9dfa,14076487,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47622358,344,AVAY-NonLG,2023-05-22,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1014684544,6123c6ca-4a82-4da7-b205-68229c2793ca,14097118,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46772221,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996774096,6124abce-b73e-4582-be07-9a9ab303708c,14027015,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47421455,344,AVAY-NonLG,2023-05-13,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1004358932,612b05e3-94fc-4bbc-8a10-94d3ba37fdea,14066104,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47463877,344,AVAY-NonLG,2023-05-17,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1006535520,6cf2ea31-f760-4fd0-8537-5344e4c9dff8,14078239,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47605724,344,AVAY-NonLG,2023-05-20,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1013753915,6cfe956c-d32f-454d-a215-59325dfa9b0f,14091878,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47375079,344,AVAY-NonLG,2023-05-10,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1001961763,6d059de3-054e-4e84-b492-7be1b859d806,14055838,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47569807,344,AVAY-NonLG,2023-05-18,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1007975898,6d068287-a9e6-4d67-827a-fa1a5143e93e,14082536,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47614449,344,AVAY-NonLG,2023-05-21,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1014279439,6d14e712-8f03-445a-b16f-98f99796eec0,14094730,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47692993,344,AVAY-NonLG,2023-05-26,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1018567873,6d24ac06-db87-4da5-9a3c-a1bec69a1743,14109858,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46761292,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996385650,6d28df23-f9ff-47d4-99a4-64b53fed74a9,14018433,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46760668,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996375042,6d2add8d-0304-4cdc-b040-e51a3dc4a289,14016347,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47705845,344,AVAY-NonLG,2023-05-28,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1019285798,6d4b8ea8-5c0a-4f2a-bf9b-f2f4d0981bf4,14112577,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
,344,AVAY-NonLG,2023-05-28,PASSED_NTB,N,,54242811,,,2023-06-05,2023-06,0,6d506336-e043-4894-8e8a-6a7d7d7fc589,14112521,FECEOO_NONVT,0,Lead_NotExisted,TSA,2023-05,
47579514,344,AVAY-NonLG,2023-05-18,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1008633811,6d598031-3f60-4e12-8c2e-a9ee2a5930db,14085473,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47460674,344,AVAY-NonLG,2023-05-16,PASSED_NTB,N,NULL,89787679,,,2023-06-05,2023-06,68x1006487595,6d59d54b-706d-49df-ab8c-e564c9c19aa5,14077687,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47351615,344,AVAY-NonLG,2023-05-09,PASSED_NTB,N,NULL,89476650,,,2023-06-05,2023-06,68x1000664801,6d6042d8-0dba-448f-8451-8896c823bec8,14048278,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46761708,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996393096,6d622c32-52ab-4960-aa7b-cfa15b1619da,14020271,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47728633,344,AVAY-NonLG,2023-05-30,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1020379341,6d79cbc9-ca09-4364-a7a2-8fd3b26acd91,14117099,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47426336,344,AVAY-NonLG,2023-05-14,PASSED_NTB,N,NULL,90411681,,,2023-06-05,2023-06,68x1004583129,6d79f9a4-764a-41bc-a98b-d98c3a7b1e11,14067144,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47636799,344,AVAY-NonLG,2023-05-23,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1015402909,6d7bda16-bbc8-4564-b5c1-c67b46cfd97d,14099958,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47759288,344,AVAY-NonLG,2023-05-31,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1021938295,6d8554b6-0161-467e-98cc-6efdb5ea7b4b,14122025,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47600980,344,AVAY-NonLG,2023-05-20,PASSED_NTB,N,NULL,89943431,,,2023-06-05,2023-06,68x1013419475,6d8dc4cf-a55c-4712-97ab-f1b54d8c499d,14090529,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46765238,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996536530,6d920812-c33d-4e3f-886a-efa437493e4e,14025143,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47422323,344,AVAY-NonLG,2023-05-13,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1004420256,6d942078-d0bf-4a71-9960-c34ab7bbacb7,14066251,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47391195,344,AVAY-NonLG,2023-05-11,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1002663399,6d95fde9-d258-4acd-94f1-b04579d7f1ff,14059378,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47713355,344,AVAY-NonLG,2023-05-29,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1019543514,6d96919e-83ef-4472-b628-20e08a9adc3d,14114354,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47455256,344,AVAY-NonLG,2023-05-16,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1006093024,6d976bed-7b12-4352-8167-263142273cd5,14076340,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46760973,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,89224984,,,2023-06-05,2023-06,68x996379959,6d9ae160-c636-4cbc-8d27-3dcd1b7c2168,14017607,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47700188,344,AVAY-NonLG,2023-05-27,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1018928706,6d9bb06b-cc42-4848-8e9c-fcaace25192f,14111516,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47713433,344,AVAY-NonLG,2023-05-29,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1019543588,6d9bb140-6d50-4a66-9fea-286983b758b4,14114577,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46802696,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x997319802,6da85584-b1d6-4779-a52a-63550e4ab467,14031488,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47704995,344,AVAY-NonLG,2023-05-27,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1019285228,6daad4b4-9d5b-40b0-b97a-7477abd6d2d0,14112346,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47378397,344,AVAY-NonLG,2023-05-10,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1002278375,6dae1c53-95f2-47bc-b9c8-8ecb7d1e9b58,14056605,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46776346,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996968746,6db07afd-ed2e-48a1-9019-8a2249b31545,14028836,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
46759616,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996361091,796bedfc-ec7e-437c-9b5a-b92511e4ad2a,14013788,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46762126,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,90150998,,,2023-06-05,2023-06,68x996400213,796de135-c30e-484b-b7de-844f904e8dfc,14021772,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46906358,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x997709679,796e10db-c075-442d-b406-f9010d2fa3a1,14032586,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
46910686,344,AVAY-NonLG,2023-05-05,PASSED_NTB,N,NULL,89243932,,,2023-06-05,2023-06,68x997866908,796e227f-b08e-4c57-a591-30b8f0ea3fa6,14034256,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47709347,344,AVAY-NonLG,2023-05-28,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1019404623,796f50a3-ff99-4c53-8b75-252a08a5c892,14113568,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47385193,344,AVAY-NonLG,2023-05-11,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1002374687,79757372-b467-416c-ae13-cada905ed3ab,14057887,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47432831,344,AVAY-NonLG,2023-05-14,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1004955846,7976e739-539d-40ac-886a-a434935057d5,14069627,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47428897,344,AVAY-NonLG,2023-05-14,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1004714175,797c680d-f8d6-4d93-8df8-93c8c324bc5a,14068261,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47658147,344,AVAY-NonLG,2023-05-24,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1016660840,797e460f-5acb-4188-a465-f463392a0867,14104308,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47585872,344,AVAY-NonLG,2023-05-19,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1012471014,79826229-c9d8-4681-9991-3edab2745482,14086678,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
46824196,344,AVAY-NonLG,2023-05-04,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x997496170,7985586b-e58e-4d0d-ace3-376f3271a1c5,14031996,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47659032,344,AVAY-NonLG,2023-05-24,PASSED_NTB,N,NULL,90159549,,,2023-06-05,2023-06,68x1016731354,799593cc-9300-4c8b-bc6c-55b17a08b5d8,14104422,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47471137,344,AVAY-NonLG,2023-05-17,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1006983382,79a16171-6b8f-4efc-af65-983efaf02bb1,14080993,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
46760634,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,89241560,,,2023-06-05,2023-06,68x996374418,79a5b140-c4ce-4f8d-af08-c22b126e37a2,14016120,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
46760613,344,AVAY-NonLG,2023-05-03,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x996374019,79a7bd72-9184-44a3-9273-52fa7dc83dd8,14016052,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47127804,344,AVAY-NonLG,2023-05-07,PASSED_NTB,N,NULL,89568719,,,2023-06-05,2023-06,68x999303899,79aa1f16-1fd4-4647-9e5f-ea88fd510d96,14041550,FECEOO_NONVT,1,Lead_NotExisted,TSA,2023-05,
47752204,344,AVAY-NonLG,2023-05-31,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1021350058,79aa2bc8-2dcb-4178-bb6e-7bcedb7e3441,14120383,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47651869,344,AVAY-NonLG,2023-05-24,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1016252173,79aded7c-c493-4542-be72-98fd37cc2628,14103108,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
47612926,344,AVAY-NonLG,2023-05-21,PASSED_NTB,N,NULL,,,,2023-06-05,2023-06,68x1014207957,79be14b1-06ef-4317-8906-8efd16cd3cc8,14094130,FECEOO_VT_LOW,1,Lead_NotExisted,TSA,2023-05,
